"X0"	"X0.1"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"
"IMAGE:129865"	-0.643721	-0.77387	-0.746408	-0.387848	-0.551401	0.230205	0.637455	1.038781	1.297097	1.230961	1.007527	0.817202	-0.005967	-0.544271	-1.056093	-1.198221	-1.338948	-0.729046	-0.559552	-0.061851	0.167471	0.637204	0.673779	0.944745	0.728939	0.42	-0.089532	-0.472603	-0.466884	-0.811856	-0.594228	-0.239735	-0.184117	0.269412	0.512435	0.602577	0.635724	0.652675	0.407342	0.362092	0.436915	-0.097036	-0.204008	-0.18844	-0.444266	-0.48808	-0.358582	-0.091886
"IMAGE:744047"	-0.939558	-1.080637	-1.050354	-0.830944	-0.933336	-0.064724	0.416586	0.624467	0.91298	1.306154	0.851291	0.884437	0.500653	0.082149	-0.672252	-0.991269	-1.340917	-0.680887	-0.704819	-0.353447	0.112651	0.491768	0.714376	1.096269	1.146028	0.807867	0.331212	-0.040536	-0.32196	-0.64204	-0.789803	-0.400605	-0.316083	0.007094	0.508797	0.749308	0.596774	0.717994	0.657952	0.518443	0.485623	0.108263	-0.157864	-0.094852	-0.44759	-0.435826	-0.639761	-0.313943
"IMAGE:769921"	-0.331021	-0.333508	-0.412518	0.001883	-0.188082	0.441954	0.636217	1.109452	1.254718	1.379372	-0.051119	-0.533236	-0.901544	-1.413799	-1.189632	-1.289336	-1.145151	-0.439186	-0.226478	-0.075248	0.377213	0.85161	0.776702	0.88661	0.470957	0.066776	-0.412031	-0.463677	-0.703499	-0.710875	-0.72455	-0.035364	0.072497	0.676294	0.8339	1.062841	0.510585	0.750757	0.346919	0.291291	0.365894	-0.008227	-0.450586	-0.140337	-0.564016	-0.440243	-0.346007	0.064149
"IMAGE:590774"	-0.938597	-0.778166	-0.751303	-0.506988	-0.52854	-0.164625	0.251022	0.479853	0.76449	0.893668	0.744165	0.594795	0.496294	0.146672	-0.542578	-0.809029	-1.091773	-0.659557	-0.602192	-0.239967	0.114011	0.410521	0.555784	0.809389	0.814946	0.740868	0.182587	-0.067527	-0.347396	-0.628062	-0.558399	-0.202953	-0.280845	0.132919	0.502978	0.591834	0.439852	0.612914	0.463528	0.376243	0.385347	0.329371	-0.052268	-0.091974	-0.425955	-0.479652	-0.407112	-0.389765
"IMAGE:898286"	0.329228	0.287112	0.115938	0.41532	0.325781	0.600688	0.718743	1.048877	1.335711	1.161726	-0.265331	-1.169912	-1.358073	-1.420894	-1.244607	-0.804391	-0.488679	-0.030681	0.144077	0.506376	0.465995	0.75483	0.718314	0.677439	0.304387	-0.332057	-0.752067	-0.865233	-0.685951	-0.568251	-0.553941	-0.001254	0.174257	0.614884	0.613008	0.433107	0.438042	0.415732	0.157106	-0.139758	0.021465	-0.457947	-0.551487	-0.375551	-0.624002	-0.093221	-0.223261	0.026808
"IMAGE:825470"	-0.179301	-0.247764	-0.244639	-0.166451	-0.15243	0.384031	0.618004	0.860664	1.009614	1.053822	0.202137	-0.536622	-0.848605	-1.217547	-1.379913	-1.121156	-0.854371	-0.41229	-0.024524	0.193801	0.186325	0.743183	0.525141	0.801293	0.634979	0.175146	-0.352309	-0.554754	-0.593165	-0.581979	-0.56642	-0.13431	0.194428	0.466038	0.698454	0.576654	0.435437	0.523589	0.292678	0.353249	0.235746	0.042656	-0.324472	-0.189398	-0.371568	-0.245681	-0.108511	-0.049856
"IMAGE:727526"	-0.83436	-0.868634	-0.933152	-0.656181	-0.480962	-0.177736	0.469681	1.007054	1.287475	1.15051	0.918648	0.252548	0.13564	-0.423764	-0.861498	-0.805196	-1.127569	-0.109958	-0.560003	-0.095139	0.152341	0.750217	0.680861	0.77472	0.873019	0.567985	0.322205	-0.239402	-0.381952	-0.619383	-0.538617	-0.192744	-0.265876	0.009219	0.433766	0.613252	0.575015	0.509704	0.470125	0.432965	0.349589	0.136979	-0.196091	-0.207781	-0.374188	-0.284717	-0.337759	-0.55168
"IMAGE:366971"	-0.300253	-0.108984	-0.252433	-0.092354	-0.070183	0.293953	0.55246	0.84305	1.086746	0.954622	0.062321	-0.515363	-0.711975	-1.109672	-1.226271	-0.936228	-0.88844	-0.491528	-0.030414	0.126943	0.182857	0.932624	0.392882	0.721366	0.528583	0.407256	-0.087168	-0.528425	-0.427481	-0.632522	-0.467049	-0.126781	0.197939	0.254565	0.868821	0.619204	0.481566	0.599289	0.337642	-0.011698	0.176573	0.081662	-0.359775	-0.15361	-0.395197	-0.570735	-0.399656	-0.21861
"IMAGE:882510"	-0.186395	-0.317686	-0.121915	-0.062099	-0.238369	0.338871	0.750063	0.862326	1.204127	1.122466	0.53705	0.222576	-0.407852	-0.752657	-1.108991	-0.987684	-0.82798	-0.821861	-0.251565	-0.188445	0.128934	0.57725	0.587856	0.803628	0.816182	0.151056	-0.447026	-0.594883	-0.369276	-0.875566	-0.67439	-0.341451	-0.030227	0.057294	0.432157	0.391686	0.543068	0.590064	0.611374	0.54015	0.282363	0.153752	-0.17641	-0.156201	-0.514211	-0.497115	-0.347791	-0.414461
"IMAGE:292936"	-0.277326	-0.375151	-0.351953	-0.071551	0.104821	0.498121	0.71962	0.891409	1.145679	0.849388	0.338439	-0.008667	-0.635851	-0.715101	-0.627194	-0.65215	-0.530318	-0.274082	0.010019	0.313865	0.551866	0.71016	0.515336	0.565142	0.358136	-0.034998	-0.474185	-0.420231	-0.338452	-0.697636	-0.329659	-0.095413	-0.063937	0.295359	0.352338	0.533584	0.370226	0.327599	0.187962	0.033788	-0.089332	-0.337385	-0.346796	-0.409502	-0.453422	-0.245671	-0.304103	-0.088302
