CloneID	Ref	GeneSymbol	CommunityID
1048860	222286		1
1048872	221943		418
1048899	222348		257
1048922	316264		29
1048929	318948		526
1048993	224816		70
1049006	225026	FLJ11583	70
1240298	225631	LRP5	38
1240431	222075	KIAA1321	70
1276318	310817		70
1276380	227004	KIAA0855	70
1292070	225226		4
1292105	221934		70
1292228	224703	FLJ12888	4
1292535	226199	USF1	124
1292590	318609		4
1292733	221896		30
IMAGE:1007167	#N/A	NA	57
IMAGE:1007319	116948		70
IMAGE:1007415	101938		242
IMAGE:1007631	106506		144
IMAGE:1007638	106257		181
IMAGE:1007667	98512		20
IMAGE:1007677	118200		70
IMAGE:1007808	107758		162
IMAGE:1007830	115023		440
IMAGE:1007855	114552	KLK2	849
IMAGE:1008356	119352		122
IMAGE:1008571	101742		153
IMAGE:1008602	115738		66
IMAGE:1008639	98573		25
IMAGE:1008655	105836		139
IMAGE:1009131	117441		70
IMAGE:1009199	99829		57
IMAGE:1009266	106546		643
IMAGE:1009410	117279		184
IMAGE:1009909	107385		70
IMAGE:1009922	114660		70
IMAGE:1009971	106841		31
IMAGE:1010077	118759		170
IMAGE:1010100	100595		1
IMAGE:1010103	107857	KLK3	70
IMAGE:1010121	115115		70
IMAGE:1010178	119779		183
IMAGE:1010336	111943		682
IMAGE:1010420	109343		61
IMAGE:1010523	104117	CEGP1	70
IMAGE:1010955	109247	TRG@	248
IMAGE:1010964	116514		705
IMAGE:1011027	115497		49
IMAGE:1011059	98344		70
IMAGE:1011110	118251		36
IMAGE:1011159	117763	FLJ20069	70
IMAGE:1011177	102682		158
IMAGE:1011258	107811		100
IMAGE:1011265	114829		139
IMAGE:1011266	107326		70
IMAGE:1011300	105204		435
IMAGE:1011319	112471		4
IMAGE:1011347	104181		27
IMAGE:1011375	118717		70
IMAGE:1011376	103707		671
IMAGE:1011378	110971		790
IMAGE:1011466	108369		70
IMAGE:1011468	98958		180
IMAGE:1011483	106214	CIR	827
IMAGE:1011496	100537		70
IMAGE:1011516	113389	AR	20
