CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot	CommunityID
1276380	AA694481	23015	S phase	KIAA0855 golgin-67 Hs.182982		S phase KIAA0855 golgin-67 Hs.182982 AA694481 	70
1292105	AA707598	84961	G1/S	MGC15482 hypothetical protein MGC15482 Hs.194498		G1/S MGC15482 hypothetical protein MGC15482 Hs.194498 AA707598 	70
1292535	AA719022	84914	G2	UBF-fl ubiquitin UBF-fl Hs.288549		G2 UBF-fl ubiquitin UBF-fl Hs.288549 AA719022 	124
IMAGE:1011715	AA229966	54806	G2/M	FLJ20069 hypothetical protein FLJ20069 Hs.273294		G2/M FLJ20069 hypothetical protein FLJ20069 Hs.273294 AA229966 	70
IMAGE:1017349	AA548037	NA	M/G1	AA548037  		M/G1 AA548037   AA548037 	1
IMAGE:1034483	AA779733	57691	G1/S	KIAA1586 KIAA1586 protein Hs.180663		G1/S KIAA1586 KIAA1586 protein Hs.180663 AA779733 	124
IMAGE:1034676	AA779865	NA	G2/M	 ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.182545		G2/M  ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.182545 AA779865 	124
IMAGE:1035796	AA628867	NA	G2	 ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665		G2  ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665 AA628867 	124
IMAGE:1055762	AA628231	3070	S phase	HELLS helicase, lymphoid-specific Hs.203963		S phase HELLS helicase, lymphoid-specific Hs.203963 AA628231 	70
IMAGE:1070324	AA780791	84930	S phase	FLJ14813 hypothetical protein FLJ14813 Hs.14014		S phase FLJ14813 hypothetical protein FLJ14813 Hs.14014 AA780791 	124
IMAGE:111571	T84669	50809	G2	HP1-BP74 HP1-BP74 Hs.142442		G2 HP1-BP74 HP1-BP74 Hs.142442 T84669 	124
IMAGE:111981	T91807	NA	G1/S	LRRFIP1 **leucine rich repeat (in FLII) interacting protein 1 Hs.326159		G1/S LRRFIP1 **leucine rich repeat (in FLII) interacting protein 1 Hs.326159 T91807 	124
IMAGE:115443	T87442	51530	G2/M	HSPC216 hypothetical protein Hs.13525		G2/M HSPC216 hypothetical protein Hs.13525 T87442 	124
IMAGE:1156515	AI792246	NA	G1/S	MSH2 **mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) Hs.78934		G1/S MSH2 **mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) Hs.78934 AI792246 	38
IMAGE:121072	T96523	NA	S phase	 ESTs Hs.242998		S phase  ESTs Hs.242998 T96523 	70
