CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot
IMAGE:843319	AA485958	3267	M/G1	HRB HIV-1 Rev binding protein Hs.171545	transport| RNA localization| | | | | | | | | | | | 	M/G1 HRB HIV-1 Rev binding protein Hs.171545 AA485958 transport| RNA localization| | | | | | | | | | | | 
IMAGE:810092	AA465031	9266	G2	"PSCD2 pleckstrin homology, Sec7 and coiled/coil domains 2 (cytohesin-2) Hs.303091"	transport| obsolete| | | | | | | | | | | | 	"G2 PSCD2 pleckstrin homology, Sec7 and coiled/coil domains 2 (cytohesin-2) Hs.303091 AA465031 transport| obsolete| | | | | | | | | | | | "
IMAGE:564537	L38951	3837	M/G1	KPNB1 karyopherin (importin) beta 1 Hs.180446 AA121732  	transport| metabolism| transport| metabolism| | | | | | | | | | 	M/G1 KPNB1 karyopherin (importin) beta 1 Hs.180446 AA121732   L38951 transport| metabolism| transport| metabolism| | | | | | | | | | 
IMAGE:366105	AA071526	5514	G2/M	"PPP1R10 protein phosphatase 1, regulatory subunit 10 Hs.106019"	transport| metabolism| | | | | | | | | | | | 	"G2/M PPP1R10 protein phosphatase 1, regulatory subunit 10 Hs.106019 AA071526 transport| metabolism| | | | | | | | | | | | "
IMAGE:112906	T75485	5514	G2/M	"PPP1R10 protein phosphatase 1, regulatory subunit 10 Hs.106019"	transport| metabolism| | | | | | | | | | | | 	"G2/M PPP1R10 protein phosphatase 1, regulatory subunit 10 Hs.106019 T75485 transport| metabolism| | | | | | | | | | | | "
IMAGE:840062	AA490249	473	G2/M	RERE arginine-glutamic acid dipeptide (RE) repeats Hs.194369	transport| metabolism| | | | | | | | | | | | 	G2/M RERE arginine-glutamic acid dipeptide (RE) repeats Hs.194369 AA490249 transport| metabolism| | | | | | | | | | | | 
IMAGE:207920	H60423	10246	G2/M	"SLC17A2 solute carrier family 17 (sodium phosphate), member 2 Hs.19710"	transport| metabolism| | | | | | | | | | | | 	"G2/M SLC17A2 solute carrier family 17 (sodium phosphate), member 2 Hs.19710 H60423 transport| metabolism| | | | | | | | | | | | "
IMAGE:814662	NM_006594	10717	G1/S	"AP4B1 adaptor-related protein complex 4, beta 1 subunit Hs.28298 AA481045  "	transport| | | | | | | | | | | | | 	"G1/S AP4B1 adaptor-related protein complex 4, beta 1 subunit Hs.28298 AA481045   NM_006594 transport| | | | | | | | | | | | | "
IMAGE:744050	AA629264	9265	M/G1	"PSCD3 pleckstrin homology, Sec7 and coiled/coil domains 3 Hs.7984"	transport| | | | | | | | | | | | | 	"M/G1 PSCD3 pleckstrin homology, Sec7 and coiled/coil domains 3 Hs.7984 AA629264 transport| | | | | | | | | | | | | "
IMAGE:813845	AA453730	10073	M/G1	"RNUT1 RNA, U transporter 1 Hs.21577"	transport| | | | | | | | | | | | | 	"M/G1 RNUT1 RNA, U transporter 1 Hs.21577 AA453730 transport| | | | | | | | | | | | | "
