,gene1,gene2,cost,psi
0,G1SO0,G1SO1,1.0,1.0
258,G2SO23,G2WO38,1.0,1.0
257,G2SO23,G2WO37,1.0,1.0
256,G2SO23,G2WO36,1.0,1.0
255,G2SO23,G2WO35,1.0,1.0
254,G2SO23,G2WO34,1.0,1.0
253,G2SO23,G2WO33,1.0,1.0
252,G2SO23,G2WO32,1.0,1.0
251,G2SO23,G2WO31,1.0,1.0
250,G2SO23,G2WO30,1.0,1.0
249,G2SO23,G2SO29,1.0,1.0
248,G2SO23,G2SO28,1.0,1.0
247,G2SO23,G2SO27,1.0,1.0
246,G2SO23,G2SO26,1.0,1.0
245,G2SO23,G2SO25,1.0,1.0
244,G2SO23,G2SO24,1.0,1.0
243,G2SO22,G2WO39,1.0,1.0
242,G2SO22,G2WO38,1.0,1.0
241,G2SO22,G2WO37,1.0,1.0
240,G2SO22,G2WO36,1.0,1.0
259,G2SO23,G2WO39,1.0,1.0
260,G2SO24,G2SO25,1.0,1.0
261,G2SO24,G2SO26,1.0,1.0
262,G2SO24,G2SO27,1.0,1.0
282,G2SO25,G2WO33,1.0,1.0
281,G2SO25,G2WO32,1.0,1.0
280,G2SO25,G2WO31,1.0,1.0
279,G2SO25,G2WO30,1.0,1.0
278,G2SO25,G2SO29,1.0,1.0
277,G2SO25,G2SO28,1.0,1.0
276,G2SO25,G2SO27,1.0,1.0
275,G2SO25,G2SO26,1.0,1.0
274,G2SO24,G2WO39,1.0,1.0
239,G2SO22,G2WO35,1.0,1.0
273,G2SO24,G2WO38,1.0,1.0
271,G2SO24,G2WO36,1.0,1.0
270,G2SO24,G2WO35,1.0,1.0
269,G2SO24,G2WO34,1.0,1.0
268,G2SO24,G2WO33,1.0,1.0
267,G2SO24,G2WO32,1.0,1.0
266,G2SO24,G2WO31,1.0,1.0
265,G2SO24,G2WO30,1.0,1.0
264,G2SO24,G2SO29,1.0,1.0
263,G2SO24,G2SO28,1.0,1.0
272,G2SO24,G2WO37,1.0,1.0
238,G2SO22,G2WO34,1.0,1.0
237,G2SO22,G2WO33,1.0,1.0
236,G2SO22,G2WO32,1.0,1.0
211,G2SO21,G2SO24,1.0,1.0
210,G2SO21,G2SO23,1.0,1.0
209,G2SO21,G2SO22,1.0,1.0
208,G2SO20,G2WO39,1.0,1.0
207,G2SO20,G2WO38,1.0,1.0
206,G2SO20,G2WO37,1.0,1.0
205,G2SO20,G2WO36,1.0,1.0
204,G2SO20,G2WO35,1.0,1.0
203,G2SO20,G2WO34,1.0,1.0
212,G2SO21,G2SO25,1.0,1.0
202,G2SO20,G2WO33,1.0,1.0
200,G2SO20,G2WO31,1.0,1.0
199,G2SO20,G2WO30,1.0,1.0
198,G2SO20,G2SO29,1.0,1.0
197,G2SO20,G2SO28,1.0,1.0
196,G2SO20,G2SO27,1.0,1.0
195,G2SO20,G2SO26,1.0,1.0
194,G2SO20,G2SO25,1.0,1.0
193,G2SO20,G2SO24,1.0,1.0
192,G2SO20,G2SO23,1.0,1.0
201,G2SO20,G2WO32,1.0,1.0
283,G2SO25,G2WO34,1.0,1.0
213,G2SO21,G2SO26,1.0,1.0
215,G2SO21,G2SO28,1.0,1.0
235,G2SO22,G2WO31,1.0,1.0
234,G2SO22,G2WO30,1.0,1.0
233,G2SO22,G2SO29,1.0,1.0
232,G2SO22,G2SO28,1.0,1.0
231,G2SO22,G2SO27,1.0,1.0
230,G2SO22,G2SO26,1.0,1.0
229,G2SO22,G2SO25,1.0,1.0
228,G2SO22,G2SO24,1.0,1.0
227,G2SO22,G2SO23,1.0,1.0
214,G2SO21,G2SO27,1.0,1.0
226,G2SO21,G2WO39,1.0,1.0
224,G2SO21,G2WO37,1.0,1.0
223,G2SO21,G2WO36,1.0,1.0
222,G2SO21,G2WO35,1.0,1.0
221,G2SO21,G2WO34,1.0,1.0
220,G2SO21,G2WO33,1.0,1.0
219,G2SO21,G2WO32,1.0,1.0
218,G2SO21,G2WO31,1.0,1.0
217,G2SO21,G2WO30,1.0,1.0
216,G2SO21,G2SO29,1.0,1.0
225,G2SO21,G2WO38,1.0,1.0
191,G2SO20,G2SO22,1.0,1.0
284,G2SO25,G2WO35,1.0,1.0
286,G2SO25,G2WO37,1.0,1.0
353,G2WO32,G2WO34,1.0,1.0
352,G2WO32,G2WO33,1.0,1.0
351,G2WO31,G2WO39,1.0,1.0
350,G2WO31,G2WO38,1.0,1.0
349,G2WO31,G2WO37,1.0,1.0
348,G2WO31,G2WO36,1.0,1.0
347,G2WO31,G2WO35,1.0,1.0
346,G2WO31,G2WO34,1.0,1.0
345,G2WO31,G2WO33,1.0,1.0
344,G2WO31,G2WO32,1.0,1.0
343,G2WO30,G2WO39,1.0,1.0
342,G2WO30,G2WO38,1.0,1.0
341,G2WO30,G2WO37,1.0,1.0
340,G2WO30,G2WO36,1.0,1.0
339,G2WO30,G2WO35,1.0,1.0
338,G2WO30,G2WO34,1.0,1.0
337,G2WO30,G2WO33,1.0,1.0
336,G2WO30,G2WO32,1.0,1.0
335,G2WO30,G2WO31,1.0,1.0
354,G2WO32,G2WO35,1.0,1.0
355,G2WO32,G2WO36,1.0,1.0
356,G2WO32,G2WO37,1.0,1.0
357,G2WO32,G2WO38,1.0,1.0
377,G2WO37,G2WO38,1.0,1.0
376,G2WO36,G2WO39,1.0,1.0
375,G2WO36,G2WO38,1.0,1.0
374,G2WO36,G2WO37,1.0,1.0
373,G2WO35,G2WO39,1.0,1.0
372,G2WO35,G2WO38,1.0,1.0
371,G2WO35,G2WO37,1.0,1.0
370,G2WO35,G2WO36,1.0,1.0
369,G2WO34,G2WO39,1.0,1.0
334,G2SO29,G2WO39,1.0,1.0
368,G2WO34,G2WO38,1.0,1.0
366,G2WO34,G2WO36,1.0,1.0
365,G2WO34,G2WO35,1.0,1.0
364,G2WO33,G2WO39,1.0,1.0
363,G2WO33,G2WO38,1.0,1.0
362,G2WO33,G2WO37,1.0,1.0
361,G2WO33,G2WO36,1.0,1.0
360,G2WO33,G2WO35,1.0,1.0
359,G2WO33,G2WO34,1.0,1.0
358,G2WO32,G2WO39,1.0,1.0
367,G2WO34,G2WO37,1.0,1.0
333,G2SO29,G2WO38,1.0,1.0
332,G2SO29,G2WO37,1.0,1.0
331,G2SO29,G2WO36,1.0,1.0
306,G2SO27,G2WO32,1.0,1.0
305,G2SO27,G2WO31,1.0,1.0
304,G2SO27,G2WO30,1.0,1.0
303,G2SO27,G2SO29,1.0,1.0
302,G2SO27,G2SO28,1.0,1.0
